StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_sue_AV_1,vB_sue_AV_1,defective_AV_1,negligence_AV_1,counterfactual_AV_1,capability_AV_1,fault_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_sue_1,defective_1,negligence_1,counterfactual_1,capability_1,fault_1,superhuman_1,comp1,comp_accident,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: Vehicle B is defective. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: The behavior of Vehicle B was negligent. - 1","Now, please imagine that two people, Sam and Alex, are having the following discussion concerning what just happened:
 

Alex: ""I wonder how things could have gone differently.""

Sam: ""Well, I really wonder what would've happened if the occupant of Vehicle B had more control of the vehicle.”

Alex: ""Really? Of all the ways things could have gone differently, that doesn't seem like the one that's worth thinking about.""

 

Please rate the extent to which you agree with Sam below: - 1",How much do you agree: Vehicle B should have been able to avoid this accident. - 1,How much do you agree: Vehicle B should avoid accidents when it is not necessarily at fault. - 1,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: Vehicle B is defective. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: The behavior of Vehicle B was negligent. - 1","Now, please imagine that two people, Sam and Alex, are having the following discussion concerning what just happened:
 

Alex: ""I wonder how things could have gone differently.""

Sam: ""Well, I really wonder what would've happened if the occupant of Vehicle B had more control of the vehicle.”

Alex: ""Really? Of all the ways things could have gone differently, that doesn't seem like the one that's worth thinking about.""

 

Please rate the extent to which you agree with Sam below: - 1",How much do you agree: Vehicle B should have been able to avoid this accident. - 1,How much do you agree: Vehicle B should avoid accidents when it is not necessarily at fault. - 1,"Please rate the extent to which you agree with the following statement: Autonomous robocars should be more aware, more attentive and more reactive than human drivers. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,FL_4 - Block Randomizer - Display Order,questions_1_AV - Display Order,questions_2_AV - Display Order,questions_1 - Display Order,questions_2 - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""BL_9v5jJo3sYsvnnW6_DO""}","{""ImportId"":""BL_43jZUoIM0dGNdPw_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}"
2022-03-08 08:38:56,2022-03-08 08:41:57,0,73.148.231.128,100,181,1,2022-03-08 08:41:57,R_10AUkOfiaDo6Jsu,,,,,31.2803955078125,-81.5305023193359375,anonymous,EN,1,2,2,3.391,14.4,15.851,2,0,0,12.234,0,100,5,0,0,10,0,50,,,,,,,,,,,,,,,,55,1,1,60,1,,32,4,,FL_39,Q116|defective_AV|vA_sue_AV|negligence_AV|vB_sue_AV,Q122|capability_AV|fault_AV|counterfactual_AV,,
2022-03-08 08:39:39,2022-03-08 08:42:26,0,47.13.201.65,100,166,1,2022-03-08 08:42:26,R_3fcSLt69FoTk1jX,,,,,34.43780517578125,-85.71199798583984375,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,18.494,0,0,0,10.974,0,100,0,0,0,34,1,52,30,,1,13,2,,34,4,,FL_40,,,Q90|negligence|vA_sue|defective|vB_sue,Q71|fault|capability|counterfactual
2022-03-08 08:39:47,2022-03-08 08:43:37,0,65.140.72.210,100,230,1,2022-03-08 08:43:37,R_1GT7MaQE1YXrNLu,,,,,47.6660003662109375,-117.4358978271484375,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,28.975,0,0,0,11.662,0,100,0,0,0,15,15,95,80,,2,70,1,,58,3,,FL_40,,,Q90|negligence|vB_sue|vA_sue|defective,Q71|counterfactual|fault|capability
2022-03-08 08:43:27,2022-03-08 08:45:38,0,107.4.76.53,100,130,1,2022-03-08 08:45:39,R_Dvf9pBWXq0T58xb,,,,,43.06280517578125,-83.628997802734375,anonymous,EN,1,2,2,0,0,16.349,0,0,0,11.189,0,100,6,7,8,7,6,13,,,,,,,,,,,,,,,,62,1,1,26,1,,30,1,,FL_39,Q116|vB_sue_AV|defective_AV|vA_sue_AV|negligence_AV,Q122|fault_AV|capability_AV|counterfactual_AV,,
2022-03-08 08:44:15,2022-03-08 08:47:44,0,159.118.129.131,100,208,1,2022-03-08 08:47:44,R_1eUC8g19k5mi4Up,,,,,34.601104736328125,-112.325897216796875,anonymous,EN,1,2,2,0,0,14.518,0,0,0,11.663,0,82,0,0,3,15,17,70,,,,,,,,,,,,,,,,79,1,1,19,1,,31,4,,FL_39,Q116|negligence_AV|vA_sue_AV|vB_sue_AV|defective_AV,Q122|fault_AV|capability_AV|counterfactual_AV,,
2022-03-08 08:46:00,2022-03-08 08:49:03,0,74.76.34.236,100,182,1,2022-03-08 08:49:03,R_3JJeKv15dWSGe8b,,,,,42.8800048828125,-73.991302490234375,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,18.689,0,13.216,13.216,13.554,1,100,30,30,10,15,55,90,81,,1,1,2,,26,4,,FL_40,,,Q90|negligence|vB_sue|defective|vA_sue,Q71|counterfactual|capability|fault
2022-03-08 08:49:47,2022-03-08 08:52:07,0,68.112.223.176,100,140,1,2022-03-08 08:52:07,R_3dKZ1KSLjcZIKOP,,,,,30.2790985107421875,-89.7678985595703125,anonymous,EN,1,2,2,0,0,16.373,0,0,0,13.028,0,100,0,0,0,0,0,83,,,,,,,,,,,,,,,,22,1,1,55,1,,37,1,,FL_39,Q116|defective_AV|vB_sue_AV|vA_sue_AV|negligence_AV,Q122|fault_AV|counterfactual_AV|capability_AV,,
2022-03-08 08:50:13,2022-03-08 08:53:17,0,173.24.227.49,100,183,1,2022-03-08 08:53:17,R_2CqRBuMKvFHPNWP,,,,,37.166107177734375,-93.24579620361328125,anonymous,EN,1,2,2,0,0,17.699,0,0,0,11.001,0,100,0,0,0,0,0,100,,,,,,,,,,,,,,,,100,1,1,61,1,,34,1,,FL_39,Q116|vB_sue_AV|vA_sue_AV|defective_AV|negligence_AV,Q122|capability_AV|fault_AV|counterfactual_AV,,
